name,latitude,longitude
日本橋,35.6837,139.7744
品川,35.6208,139.7397
川崎,35.5317,139.7027
神奈川,35.4764,139.6306
程ヶ谷,35.4437,139.5969
戸塚,35.3934,139.5323
藤沢,35.3377,139.4879
平塚,35.3278,139.3496
大磯,35.3088,139.3117
小田原,35.2498,139.1578
箱根,35.2045,139.0628
三島,35.1189,138.9185
沼津,35.1017,138.8606
原,35.1278,138.7981
吉原,35.1611,138.6833
蒲原,35.1223,138.5997
由比,35.1039,138.5583
興津,35.0506,138.5197
江尻,35.0189,138.4831
府中,34.9706,138.3892
鞠子,34.9536,138.3378
岡部,34.9189,138.2831
藤枝,34.8706,138.2564
島田,34.8328,138.1764
金谷,34.8197,138.1256
日坂,34.8056,138.0789
掛川,34.7717,138.0169
袋井,34.7508,137.9253
見付,34.7214,137.8592
浜松,34.7083,137.7333
舞阪,34.6869,137.6078
新居,34.6936,137.5619
白須賀,34.6997,137.5292
二川,34.7247,137.4264
吉田,34.7708,137.3897
御油,34.8425,137.3164
赤坂,34.8558,137.3075
藤川,34.9142,137.2281
岡崎,34.9567,137.1603
池鯉鮒,35.0033,137.0428
鳴海,35.0792,136.9506
宮,35.1250,136.9083
桑名,35.0664,136.6853
四日市,34.9669,136.6192
石薬師,34.8931,136.5517
庄野,34.8833,136.5264
亀山,34.8525,136.4525
関,34.8519,136.3986
坂下,34.8911,136.3533
土山,34.9350,136.2736
水口,34.9669,136.1664
石部,35.0050,136.0561
草津,35.0175,135.9622
大津,35.0044,135.8647
三条大橋,35.0090,135.7712
